epoch,method,score,feature_mode,task
0,Bert_uniform,0.122,feature_extraction,clustering
2,Bert_uniform,0.248,feature_extraction,clustering
4,Bert_uniform,0.244,feature_extraction,clustering
6,Bert_uniform,0.237,feature_extraction,clustering
0,part_prob,0.168,feature_extraction,clustering
2,part_prob,0.245,feature_extraction,clustering
4,part_prob,0.237,feature_extraction,clustering
6,part_prob,0.238,feature_extraction,clustering
0,Bert_uniform,0.608,feature_extraction,churn_predict
2,Bert_uniform,0.667,feature_extraction,churn_predict
4,Bert_uniform,0.660,feature_extraction,churn_predict
6,Bert_uniform,0.665,feature_extraction,churn_predict
0,part_prob,0.641,feature_extraction,churn_predict
2,part_prob,0.669,feature_extraction,churn_predict
4,part_prob,0.676,feature_extraction,churn_predict
6,part_prob,0.676,feature_extraction,churn_predict
0,Bert_uniform,0.666,fine_tune,churn_predict
2,Bert_uniform,0.682,fine_tune,churn_predict
4,Bert_uniform,0.720,fine_tune,churn_predict
6,Bert_uniform,0.705,fine_tune,churn_predict
0,part_prob,0.691,fine_tune,churn_predict
2,part_prob,0.718,fine_tune,churn_predict
4,part_prob,0.712,fine_tune,churn_predict
6,part_prob,0.715,fine_tune,churn_predict
0,Bert_uniform,0.553,feature_extraction,buy_time_predict
2,Bert_uniform,0.591,feature_extraction,buy_time_predict
4,Bert_uniform,0.602,feature_extraction,buy_time_predict
6,Bert_uniform,0.607,feature_extraction,buy_time_predict
0,part_prob,0.555,feature_extraction,buy_time_predict
2,part_prob,0.585,feature_extraction,buy_time_predict
4,part_prob,0.588,feature_extraction,buy_time_predict
6,part_prob,0.587,feature_extraction,buy_time_predict
0,Bert_uniform,0.584,fine_tune,buy_time_predict
2,Bert_uniform,0.693,fine_tune,buy_time_predict
4,Bert_uniform,0.739,fine_tune,buy_time_predict
6,Bert_uniform,0.740,fine_tune,buy_time_predict
0,part_prob,0.559,fine_tune,buy_time_predict
2,part_prob,0.704,fine_tune,buy_time_predict
4,part_prob,0.714,fine_tune,buy_time_predict
6,part_prob,0.745,fine_tune,buy_time_predict
